,,,Year1  /  Year (copy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2013,2014,2015,2016,2017,2017,2018,2019,2020,2021,2022,2023
In / Out of New Methodology Implemented,In / Out of New Processing Implemented,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2013,2014,2015,2016,2017,2017,2018,2019,2020,2021,2022,2023
In,Out,Total Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,390","$49,740","$51,180","$51,740","$51,370",,,,,,,
,,Total Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,680","63,250","64,340","64,300","63,810",,,,,,,
,,White Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,140","50,770","51,780","52,430","52,590",,,,,,,
,,White Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,510","64,050","65,130","65,030","65,480",,,,,,,
,,Black Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,320","42,100","45,480","45,110","44,950",,,,,,,
,,Asian Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,730","58,170","60,890","63,030","62,870",,,,,,,
,,Asian Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,980","71,480","77,870","81,690","82,810",,,,,,,
,,Hispanic Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,040","38,030","39,080","39,250","39,160",,,,,,,
,,Hispanic Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,850","43,350","44,820","46,510","47,570",,,,,,,
,,"White, non-Hispanic Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,500","52,500","54,100","56,960","56,920",,,,,,,
,,"White, non-Hispanic Men",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,210","69,630","71,860","72,130","73,900",,,,,,,
Out,In,Total Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,150","$54,100","$55,910","$59,670","$57,360","$54,440","$55,240"
,,Total Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,860","66,330","67,920","71,780","68,510","64,830","66,790"
,,White Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,280","54,900","57,740","60,070","57,620","55,230","55,630"
,,White Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,810","67,620","70,940","72,390","69,140","67,700","69,480"
,,Black Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,280","45,630","48,580","50,570","52,120","51,430","50,470"
,,Asian Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,590","66,660","67,150","80,150","71,520","73,390","71,520"
,,Asian Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,050","84,420","89,450","96,490","91,590","90,880","90,830"
,,Hispanic Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,350","40,230","42,680","45,320","44,240","42,770","43,880"
,,Hispanic Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,020","47,990","49,080","52,700","51,310","49,300","50,120"
,,"White, non-Hispanic Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,110","58,050","60,670","63,000","61,960","59,530","60,450"
,,"White, non-Hispanic Men",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,930","73,870","77,080","78,890","77,530","74,430","75,950"
,Out,Total Women,"$27,560","$27,780","$28,310","$28,830","$29,720","$30,430","$30,510","$31,100","$32,120","$34,410","$35,090","$35,370","$36,120","$36,530","$36,590","$36,370","$37,130","$37,110","$37,690","$37,370","$37,130","$36,320","$37,140","$38,120","$38,860","$39,730","$40,600","$40,920","$41,080","$41,950","$42,250","$42,270","$42,880","$42,570","$42,530","$42,100","$43,230","$44,570","$45,540","$45,400","$45,800","$47,650","$48,650","$48,480","$48,090","$47,660","$47,270","$49,760","$48,880","$49,810","$49,960","$48,750","$48,700","$49,850",,,,,,,,,,,,
,,Total Men,"45,430","46,880","47,740","48,900","50,240","50,780","53,010","53,820","55,240","56,890","59,110","59,430","62,420","64,500","62,280","61,830","61,690","62,980","63,400","62,640","61,710","61,320","60,150","59,930","61,040","61,520","63,180","62,780","62,200","61,090","59,000","60,510","60,570","59,520","59,100","58,940","58,600","60,100","62,240","62,780","62,120","62,420","63,510","64,170","62,800","61,920","61,440","63,950","63,400","64,700","64,940","63,310","63,660","63,700",,,,,,,,,,,,
,,White Women,,,,,,,,"32,060","33,010","35,110","35,680","35,730","36,700","37,100","36,860","36,410","37,390","37,340","37,990","37,670","37,390","36,650","37,560","38,530","39,180","40,160","41,080","41,320","41,580","42,290","42,730","42,770","43,320","43,110","43,340","42,870","44,050","45,210","46,210","45,970","47,100","48,810","49,230","49,180","48,700","48,130","49,090","50,380","49,500","50,410","50,610","49,540","50,270","51,250",,,,,,,,,,,,
,,White Men,,,,,,,,"55,420","56,720","60,410","60,810","61,080","64,820","66,400","63,620","63,260","63,330","64,850","64,470","64,080","63,520","62,670","61,650","61,400","63,000","63,720","64,860","64,190","63,530","63,800","61,560","62,250","61,890","60,850","60,530","60,200","60,100","62,820","63,690","64,160","64,430","64,960","65,300","65,030","63,960","62,810","64,190","65,220","64,770","66,850","67,970","65,770","64,970","64,350",,,,,,,,,,,,
,,Black Women,,,,,,,,"23,930","25,130","27,720","29,320","31,710","31,490","31,640","34,460","35,070","35,070","34,870","35,560","34,700","35,390","33,900","34,630","34,760","36,070","36,380","36,860","38,110","38,590","38,870","38,450","38,500","39,640","38,790","38,140","38,670","39,150","39,330","39,880","41,790","41,840","43,370","43,300","42,550","42,690","44,390","44,130","43,960","43,060","43,690","43,750","44,000","43,670","43,400",,,,,,,,,,,,
,,Asian Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,150","47,750","45,450","43,550","45,740","47,650","46,840","46,550","46,590","49,590","47,660","49,290","50,820","50,040","50,630","51,420","55,420","54,000","57,160","57,230","57,720","58,120","55,910","53,700","58,740","53,900",,,,,,,,,,,,
,,Asian Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,280","62,920","57,050","62,030","61,220","60,490","61,410","59,080","62,810","61,900","61,330","63,640","67,630","68,260","67,460","71,920","70,800","71,910","74,780","71,880","70,200","71,060","70,040","72,350","75,660","73,380",,,,,,,,,,,,
,,Hispanic Women,,,,,,,,,,,,,,,"31,110","31,170","31,990","32,370","32,550","31,090","32,090","32,470","31,710","31,950","32,980","33,220","34,610","35,150","34,640","35,010","33,410","33,410","34,270","32,800","33,650","32,140","34,030","33,860","33,850","33,440","34,450","35,050","35,290","35,290","36,140","36,230","36,630","37,720","36,710","37,320","38,170","38,120","36,630","38,460",,,,,,,,,,,,
,,Hispanic Men,,,,,,,,,,,,,,,"46,650","45,620","47,070","46,460","47,300","45,580","44,960","44,550","43,900","44,290","44,540","43,350","42,060","42,180","41,650","41,030","40,790","40,670","39,200","39,440","38,910","38,130","38,390","38,580","39,240","38,670","39,650","40,910","41,830","41,160","41,030","40,050","42,250","42,810","42,330","43,100","42,770","41,830","41,550","41,150",,,,,,,,,,,,
,,"White, non-Hispanic Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,760","42,270","43,010","43,390","43,390","43,920","43,810","44,430","44,280","45,380","46,260","47,330","47,330","49,760","50,230","50,580","50,580","50,070","51,040","51,950","52,090","51,120","52,900","54,560","52,980","52,720","52,710",,,,,,,,,,,,
,,"White, non-Hispanic Men",,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,750","65,930","66,980","64,230","63,860","63,630","62,580","62,520","64,380","64,620","65,320","66,450","69,780","68,790","67,980","68,420","70,620","70,100","69,470","70,400","71,340","70,070","70,570","70,370","68,720","67,700","68,100",,,,,,,,,,,,
